overall.token.number	speaker.id	t.or.s	wl.or.rp	nationality	countrybirth.t	ethnicity	school	form.s	education.t	interview.1(liveadabroad)	interview.2(durationabroad)	interview3(attitudes.etc)	lexical set	mono.or.di	age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	F*1_normalized	F*2_normalized	F*1gl_normalized	F*2gl_normalized	euclid.onset.glide.norm	euclid.dist.token.to.mean.onset	euclid.dist.token.to.mean.glide	nFormants	oFormants		poles	bandwidths	man.check	nFormants.man	reliabel	besser.als.default	comment	pot.exclusion.nachIQR	pot.exclusion.numeric	pot.exclusion.nachEuclidtoMeanperVowel	pot.exclusion.both.euclid.visual
1671	12	t	RP	TT	Trinidad	AT	SJCSF			no	0		BATH	m	26						./INPUTFILES/Teachers/SCJSF_Jones/	M		0			AE	1	sp	bath	sp	755.7	1255	2447	123.8	79.8	356.8	6.666	6.572	6.76	0.188	ae	fricative	interdental	voiceless	oral_labial				B	TH	internal	2	SP	B AE1 TH	SP	726.1639	1307.1802	725.6481	1270.6214	754.4118	1251.8464	760.0092	1267.132	741.3431	1278.1506	568.975	1277.247				19.9890888737		4	4	[869.2517529304156, 1322.477380520942, 3316.339045343664],[754.4118184347469, 1251.8463647642695, 2567.6974489197005, 3509.4225821272234],[751.6258344961041, 1249.0825452319004, 2441.747204109752, 3451.961935934952],[736.637203320383, 1231.1607009249956, 2010.4099379958213, 2643.234942653048, 3484.815478595229]	[318.75343733644377, 392.39970906024524, 300.3265256803352],[138.04334388642732, 116.91253503765587, 627.1540401911191, 216.63596869420778],[100.74073512639627, 75.5717407249503, 324.7009320190907, 115.26195861136024],[85.01160850607091, 76.66723608671909, 982.2216891114874, 417.5765397646973, 68.03243732711593]			5	2	2			99	99	99
1738	12	t	RP	TT	Trinidad	AT	SJCSF			no	0		BATH	m	26						./INPUTFILES/Teachers/SCJSF_Jones/	M		0			AE	1	and	dance	sp	825.3	1409.6	2433.2	147.9	213.4	910.7	65.064	64.972	65.156	0.184	ae	nasal	apical	voiced	oral_apical	complex_coda			D	N	internal	2	AH0 N	D AE1 N S	SP	756.262	1454.4283	790.3683	1398.8844	825.335	1409.6372	817.551	1438.8209	737.7786	1469.5396	609.891	1370.225				112.6322198396		5	5	[928.3618040728775, 1491.427145280338, 3532.3724215045654],[848.2569871670938, 1478.3842155052735, 3174.6850832930386],[825.3349956637222, 1409.6372075964462, 2433.202483658168, 3330.506051530526],[394.40483845311155, 832.3730893447996, 1419.1908877960773, 2420.123650171535, 3319.8047457783723]	[335.0848479478009, 881.3212914088587, 1039.99431614697],[187.7634149072182, 280.7164736199545, 310.4066944634697],[147.8897582885323, 213.40453896573328, 910.7142525865502, 235.34997825837027],[1941.9363879740413, 147.5125506041633, 186.99658778039836, 631.2246255209186, 177.0563363969905]			5	1	4			99	99	99
1808	13	t	WL	TT	Trinidad	MT	STB			no	0		BATH	m	46						./INPUTFILES/Teachers/STB_Smith/	M		0			AE	1	sp	dance	sp	752.8	1250.9	2796.5	91.1	105.9	145.4	27.652	27.558	27.747	0.189	ae	nasal	apical	voiced	oral_apical	complex_coda			D	N	internal	2	SP	D AE1 N S	SP	713.3225	1327.6816	746.9872	1273.7584	752.8422	1250.908	748.63	1241.6037	708.4526	1271.0855	625.469	1276.404				46.8754457792		4	4	[943.9141053059321, 1581.0153012823605, 3435.328703682678],[752.8422156204012, 1250.9079568190377, 2796.45323006959, 3714.6579295055053],[742.5317292446789, 1237.3285127119711, 2785.1649298227826, 2808.287144307477, 3716.9837863757175],[672.9787043450956, 749.3541050745245, 1245.9939386965468, 2757.0094341964223, 3435.462292683926, 3725.8362318906743]	[239.1642116941038, 1621.5014554076954, 398.44628105149104],[91.07598348795486, 105.92367919901272, 145.37185368621394, 77.92726465742905],[68.26589238620413, 83.44047796122153, 183.87080528063694, 3263.972660947437, 90.44985738838575],[3864.391630811955, 72.6334927862846, 79.52523121728129, 178.63817155068145, 1512.4353108338626, 117.79401621173909]			4	2	2			99	99	99
1812	13	t	WL	TT	Trinidad	MT	STB			no	0		BATH	m	46						./INPUTFILES/Teachers/STB_Smith/	M		0			AE	1	sp	after	sp	758.9	1186.2	2733.5	54.9	104	344.3	31.869	31.798	31.941	0.143	ae	fricative	labiodental	voiceless		complex_one_syl			SP	F	initial	1	SP	AE1 F T ER0	SP	764.4895	1253.842	759.5635	1206.4566	758.854	1186.1702	743.4508	1176.8686	732.3521	1186.186	630.255	1232.584				56.9656752878		4	4	[852.19208041713, 1312.1391949989077, 3314.7061682233507],[758.8539895955553, 1186.170186608708, 2733.493463602409, 3690.497634867085],[767.2431237571645, 1200.6409445473053, 2672.8285742546827, 3595.586743678473],[743.6150192557193, 1159.0978820840135, 1373.7335730679513, 2726.247469363448, 3614.1209159587415]	[170.03771644552836, 788.1107452200561, 459.48169493370085],[54.88822533555844, 104.04195095933726, 344.27833570905347, 318.6580476018491],[50.11588369912988, 80.53681696260885, 199.0314662576431, 204.1098335670073],[55.13571372648156, 164.02173936384315, 869.6078404048976, 119.70299086578314, 95.96156179358516]			4	1	1			99	99	99
1814	13	t	RP	TT	Trinidad	MT	STB			no	0		BATH	m	46						./INPUTFILES/Teachers/STB_Smith/	M		0			AE	1	sp	sample	sp	685.1	1247.7	2527.9	102.8	41.4	301	3.824	3.77	3.877	0.107	ae	nasal	labial	voiced	oral_apical	complex_one_syl			S	M	internal	2	SP	S AE1 M P AH0 L	SP	601.506	1288.3138	646.0143	1264.4982	681.0739	1243.0659	657.9747	1218.6425	596.8887	1141.0255	572.635	1274.157				15.3490558016		6	6	[1109.665363176953, 1112.422828590427, 3332.217451378742],[717.0041626657394, 1258.6243912956036, 2711.2648460072087, 3575.1456034137027],[687.7195318325031, 1246.4390625464991, 2535.858568990784, 3489.1973373608707],[681.0739428793222, 1243.0659149839225, 1715.1897471120567, 2552.198006726111, 3493.696106156488]	[499.31119637134816, 945.9348200924965, 342.4075038312868],[257.23411060679274, 141.04143770243243, 506.5601603831519, 245.1107035549691],[123.63069889177656, 66.26405679733591, 308.69438436054105, 153.50705940510747],[118.50414492267404, 69.08612922547344, 3139.480856322828, 323.3748189919414, 145.6663409806092]			5	3	2			99	99	99
1819	13	t	RP	TT	Trinidad	MT	STB			no	0		BATH	m	46						./INPUTFILES/Teachers/STB_Smith/	M		0			AE	1	sp	bath	sp	693.7	1193.4	2585.1	58.5	94.2	237.7	7.579	7.507	7.651	0.144	ae	fricative	interdental	voiceless	oral_labial				B	TH	internal	2	SP	B AE1 TH	SP	679.8431	1217.4459	695.3525	1215.0835	693.6881	1193.413	663.5598	1169.7861	651.912	1185.4178	579.392	1237.36				24.0393374285		5	5	[880.792460585678, 1815.2018030878316, 3495.396375456269],[845.3046285376739, 1378.8835163526164, 3425.192682489446, 3482.102340960777],[693.6881499600073, 1193.4129869005603, 2585.1437265030327, 3518.7061160794233],[689.1630421823639, 1184.3401140527678, 2492.2917954819713, 2584.5672137855245, 3523.484106665153]	[231.83082484458407, 2511.4830931191805, 300.8295439544931],[244.61243014531698, 1333.7208558673408, 2349.4441168888115, 347.42060467775457],[58.483440541497465, 94.22117378071916, 237.74238483665323, 86.52379997158035],[51.13620587689172, 88.13934671588372, 3307.745979481748, 286.5704616720042, 90.33598425038797]			5	1	4			99	99	99
1886	13	t	RP	TT	Trinidad	MT	STB			no	0		BATH	m	46						./INPUTFILES/Teachers/STB_Smith/	M		0			AE	1	and	dance	sp	693.2	1250.9	2584.6	85.9	81.1	285.4	62.625	62.548	62.702	0.154	ae	nasal	apical	voiced	oral_apical	complex_coda			D	N	internal	2	AE1 N	D AE1 N S	SP	684.8065	1311.6562	716.2661	1283.3039	693.1855	1250.8889	658.3859	1273.8669	635.5039	1310.7498	579.017	1276.404				15.2046067032		5	5	[978.5408487964776, 1529.2980975199237, 3258.520558389343],[732.9576697006356, 1282.0861145019803, 2717.0734031653074, 3677.7045450549585],[693.1855119984663, 1250.8889065116098, 2584.5709743413095, 3558.8659254426498, 3605.8409247719833],[664.9748943661008, 712.4767514656946, 1271.5557278974466, 2573.659300315356, 3424.3650570295067, 3998.141710108916]	[348.67254521219496, 1718.2483123291865, 550.4875501894146],[220.82495924358446, 207.14652065044223, 276.78010153179605, 236.29366153461717],[85.85232210493305, 81.10425905973781, 285.44558349877724, 1951.2072471390097, 370.22512571183074],[3075.7672635601916, 109.58434373285372, 83.03249543225444, 142.545022764073, 270.6151134089991, 467.3368105853198]			5	1	4			99	99	99
974	7	t	RP	TT	England	IT	ARI			yes	>6		DRESS	m	36						./INPUTFILES/Teachers/ARI_Dass/	F		0			EH	2	sp	sunsets	sp	810.4	1716.6	2788.9	67.7	298.1	335.7	54.761	54.724	54.798	0.074	e	stop	apical	voiceless	oral_apical	complex_coda			S	T	internal	5	SP	S AH1 N S EH2 T S	SP	765.4431	1719.7917	800.5355	1716.9475	810.4463	1716.5786	818.902	1755.2552	803.1393	1739.1379	521.49	1380.337				57.1255509295		5	5	[900.5101145317972, 2336.1848313614983, 3847.76193508095],[838.008002324825, 1890.5305944815827, 2984.8024447604853, 4094.6371894489007],[810.4463201593717, 1716.5785935191627, 2788.9207998514426, 3965.7069852425534],[801.9021969978735, 1502.3776112960818, 1786.358349814393, 2830.9898956288575, 3908.3049010630684, 4690.223900421774]	[234.85489398583692, 638.6860587760942, 514.0810553361455],[133.82754958727418, 551.1155116251481, 623.4701770139491, 342.8843771613262],[67.69662654395358, 298.09100515643627, 335.7369287721422, 268.13749392072026],[73.26443071013452, 1362.2742566396455, 417.01791601754917, 220.1245929419142, 189.921330337881, 789.0224266202594]			5	1	4	Vocal fry	vocal_fry	3	44	44
4	1	s	WL	TT	Trinidad	MT	BLA						DRESS	m	17						./INPUTFILES/Students/BLA_1_Michala/	F		0			EH	1	sp	better	sp	917.2	2257.6	4154.2	51.8	206.3	1238.6	6.048	5.982	6.113	0.131	e	stop	apical	voiceless	oral_labial	one_fol_syll			B	T	internal	2	SP	B EH1 T ER0	SP	873.5057	2206.7232	914.7235	2261.2623	917.2226	2257.5563	921.3115	2253.745	864.3404	2206.3262	517.736	1584.27				158.8370419518		3	3	[917.2225670329608, 2257.5563209805064, 4154.193659536938],[903.8337494605369, 2104.1182439959603, 2700.722240970805, 4486.058265653705],[905.3985724614744, 1342.816752154131, 2174.469264158574, 3087.75532763185, 4608.178614907718],[905.21658667835, 1513.5634444682862, 2181.9039151563197, 3090.5973738255625, 4592.668849663421]	[51.76561537945527, 206.33958295302986, 1238.6151074255995],[23.57569995528803, 321.8653175192724, 868.191043810692, 739.8849243897017],[32.17877321506598, 1749.4187466540088, 169.21578010066477, 441.95044130348725, 230.51869344331905],[30.949622491528206, 1542.2378051845906, 165.7320020597624, 386.74765611073707, 238.4496686924925]			3	1	1			99	99	99
33	1	s	RP	TT	Trinidad	MT	BLA						DRESS	m	17						./INPUTFILES/Students/BLA_1_Michala/	F		0			EH	1	in	seventeen	seventy	845.4	1914.5	3257.8	17.2	167.2	615.5	14.008	13.951	14.065	0.114	e	fricative	labiodental	voiced	oral_apical	two_fol_syl			S	V	internal	2	IH1 N	S EH1 V AH0 N T IY1 N	S EH1 V AH0 N T IY0	775.5119	2022.1314	894.156	2084.6262	864.7303	2170.9077	857.4337	2059.2187	849.5381	1990.103	480.293	1430.337				9.8628199821		3	3	[864.7303244459157, 2170.9077239961293, 4149.731110584583],[845.049836801239, 1916.2855689329044, 3262.981374520007, 4441.278570153787],[844.6266108744212, 1617.990798992426, 1983.8316151941333, 3430.088903704728, 4544.851162270076],[839.3531187493488, 1296.1906347388058, 2012.336270524837, 3388.6623911861957, 3916.7392400695603, 4535.559005275771]	[77.57925627590426, 472.98029054048845, 572.7117243337956],[16.433647465707484, 165.1638154844528, 593.8281813524062, 482.1165128362804],[22.377849461004548, 1805.3926105234266, 211.18215585854364, 245.61001120323823, 163.6695291422625],[23.767264576150104, 859.510155566041, 145.68437951203282, 238.58604220634356, 2960.479934332373, 193.75258939785985]			4	4	1			99	99	99
35	1	s	RP	TT	Trinidad	MT	BLA						DRESS	m	17						./INPUTFILES/Students/BLA_1_Michala/	F		0			EH	1	seventeen	seventy	eight	869.1	1933.8	3278	16.7	147.6	750.1	14.602	14.548	14.656	0.108	e	fricative	labiodental	voiced	oral_apical	two_fol_syl			S	V	internal	2	S EH1 V AH0 N T IY1 N	S EH1 V AH0 N T IY0	EY1 T	738.3828	2079.0809	901.0548	2083.4763	886.3633	2125.2892	886.4288	2106.8497	862.5795	2115.0216	492.586	1439.045				11.4759191789		3	3	[886.3632578302246, 2125.289161437151, 4172.259664770271],[869.3871394969943, 1935.1525742551794, 3273.7062276239303, 4330.341612999463],[869.6330427734338, 1791.521358883635, 1967.79485236495, 3478.0762735150483, 4406.74052642376],[861.2417660455487, 1266.9176954268019, 2008.3578409815025, 3327.066064464921, 4151.266548015439, 4397.381436409489]	[68.96100726058806, 354.51717881021375, 319.91271676974986],[16.49730213595909, 149.6087065336099, 768.5656926602319, 296.53300136793024],[20.33250076899606, 2619.4986915760305, 175.1628961579417, 470.62722657622317, 191.01011403265196],[22.325151261422562, 671.6603149467568, 104.62102456757636, 390.6093364158169, 1443.1200204192496, 262.5855861349618]			4	4	1			99	99	99
46	1	s	RP	TT	Trinidad	MT	BLA						DRESS	m	17						./INPUTFILES/Students/BLA_1_Michala/	F		0			EH	1	nineteenth	century	the	880.3	1920	3117.8	22.8	186.2	815.6	25.181	25.107	25.255	0.148	e	nasal	apical	voiced	oral_apical	complex_two_syl			S	N	internal	2	N AY1 N T IY1 N TH	S EH1 N CH ER0 IY0	DH AH0	872.8359	2090.1946	895.5656	2478.0246	899.0809	2116.5079	909.7293	2098.0081	899.2451	2114.2298	498.498	1432.865				9.9719170173		3	3	[899.0809066965973, 2116.5079074902374, 4127.140138856658],[879.8133209547503, 1918.868748540095, 3123.8998314030027, 4339.74704742457],[875.9837371201156, 1861.1888370097931, 1972.5467604026348, 3433.4916338301537, 4455.310919889203],[868.2698347766697, 1376.52985651436, 2028.9083563486863, 3279.4439104898947, 3915.027600051754, 4454.710071440863]	[74.79535117043075, 350.12673634516267, 482.6556866008877],[22.47392719622954, 189.04980021392785, 794.9635672418783, 392.69011645801936],[23.545419086850778, 1258.9254966340295, 347.41687670152066, 447.97194795856535, 205.6843396010799],[21.715468343923337, 591.1258981267688, 168.74617985705572, 473.0696440613893, 1713.250142208002, 266.25976753959026]			4	4	1			99	99	99
48	1	s	RP	TT	Trinidad	MT	BLA						DRESS	m	17						./INPUTFILES/Students/BLA_1_Michala/	F		0			EH	2	sp	destination	sp	771.4	2179.3	4295.8	163	210	547.7	27.503	27.445	27.561	0.116	e	fricative	apical	voiceless	oral_apical	complex_two_syl			D	S	internal	2	SP	D EH2 S T AH0 N EY1 SH AH0 N	SP	777.1982	2178.9269	787.0565	2202.5268	771.3914	2179.3222	752.3619	2186.3543	730.7912	2192.3646	441.629	1549.157				130.4933902158		3	3	[771.3914356185442, 2179.32217223231, 4295.846850457548],[743.2777454866023, 2058.269323017999, 3116.1040704139928, 4487.817355403515],[735.2170274581703, 1848.3198448107241, 2114.8138502496045, 3482.2720091364367, 4594.861780371935],[726.2158953545088, 1461.3519717847198, 2126.5237695379005, 3311.586816120905, 3898.1541033341987, 4595.9844519433045]	[163.0035508802582, 209.99729997438635, 547.7276703492277],[41.89035135828382, 134.05282020790864, 905.9249752867786, 421.9368623116907],[35.16436813617685, 1117.1827341857188, 215.09790449457626, 456.19306387826015, 188.86237850674607],[23.66380862905725, 562.5982765690238, 102.75011159793233, 522.9637862378753, 1776.0467008147211, 239.93367736407504]			3	1	1			99	99	99
55	1	s	RP	TT	Trinidad	MT	BLA						DRESS	m	17						./INPUTFILES/Students/BLA_1_Michala/	F		0			EH	1	sp	however	sp	927.3	1947.3	2909.6	16.8	275.9	953.7	33.826	33.722	33.931	0.209	e	fricative	labiodental	voiced		one_fol_syll			AW2	V	internal	3	SP	HH AW2 EH1 V ER0	SP	922.3309	2229.063	922.2427	2230.6708	937.2451	2135.1556	945.1101	2028.3578	946.2492	1961.3149	522.992	1444.944				37.2678158738		3	3	[937.2451375446163, 2135.1555688700787, 4084.783167536236],[927.0275199783345, 1947.7977531556717, 2912.613730607606, 4363.998144895255],[924.7114273493302, 1553.126824184539, 2069.2198051382306, 3296.165821972955, 4521.002679721821],[921.728079422356, 1361.8134567809248, 2078.1485639683274, 3232.9318879092402, 4487.125327003504]	[37.75308438912602, 307.75415028628817, 793.5118039207889],[16.832689463785048, 277.06443872855397, 956.9077161932748, 617.2966612157903],[20.733239328358465, 1221.8605720357962, 284.2790853155823, 446.01637666825553, 239.87965321555868],[22.43901691170305, 835.328089254596, 198.6383596384661, 380.84358346630324, 271.0753270512092]			4	4	1			99	99	99
57	1	s	RP	TT	Trinidad	MT	BLA						DRESS	m	17						./INPUTFILES/Students/BLA_1_Michala/	F		0			EH	2	the	advent	sp	937.8	2027.8	3110.1	70.6	252.3	2077.8	36.956	36.846	37.067	0.221	e	nasal	apical	voiced	oral_labial	complex_coda			V	N	internal	4	DH AH1	AE1 D V EH2 N T	SP	799.9835	1893.1854	853.1066	1936.5446	937.7673	2027.7654	919.0217	2077.3283	842.3083	2262.7582	528.435	1481.18				65.7841973805		4	4	[959.6978473823939, 2115.1815204693175, 3965.07324196461],[937.7673441514737, 2027.7654375439497, 3110.139506684888, 4028.0241719119263],[932.5970052947697, 1284.3972001038476, 2101.7009735549295, 3521.7595680476493, 4322.752073657379],[869.709700397162, 1147.7783651896598, 2086.922391955088, 3410.6348461952834, 3699.1348702412424, 4341.253828954774]	[115.79790680757222, 259.5214945101371, 348.83608397525427],[70.6396093966527, 252.26575239702817, 2077.8020346820367, 453.6071777575326],[104.73134797142872, 1161.3887000173793, 144.3801987478244, 314.18803536687767, 232.2176683556136],[135.5757987910881, 326.4894799765317, 72.5267654849979, 593.2397031775612, 1290.5629285830837, 329.0093608476287]			4	1	1			99	99	99
72	1	s	RP	TT	Trinidad	MT	BLA						DRESS	m	17						./INPUTFILES/Students/BLA_1_Michala/	F		0			EH	1	caribbean	every	year	803.1	1992.6	3078.2	73.9	301	555.6	55.334	55.254	55.413	0.159	e	fricative	labiodental	voiced		one_fol_syll			N	V	initial	1	K ER0 IH1 B IY0 AH0 N	EH1 V R IY0	Y IH1 R	864.6875	2044.0343	828.1312	1907.8819	804.2925	1990.9796	750.5649	1970.9368	712.0598	2009.9976	458.146	1465.449				49.1433720556		4	4	[858.2644705283428, 2325.6628450493467, 3962.0260876721077],[803.149249034878, 1992.5718094501983, 3078.22486270716, 4184.718827237009],[805.3705207199104, 1851.091289149155, 2059.481207261032, 3246.244815881052, 4249.902972956408],[759.1648851782902, 1219.8025531342814, 2111.4187302650084, 3096.847573395191, 4006.4288544253955, 4353.5834595867655]	[230.22431898747274, 483.62702548467695, 434.8824002651856],[73.90569692933207, 300.98168026335605, 555.5671215141754, 273.36299959513434],[89.92857430824303, 2869.6453413737745, 347.14466090959405, 482.0649917069178, 203.9610529043881],[76.00955314250969, 451.58450288832313, 129.58479429431134, 243.52184375336185, 575.5612986293812, 385.51088593699876]			4	1	1			99	99	99
94	1	s	RP	TT	Trinidad	MT	BLA						DRESS	m	17						./INPUTFILES/Students/BLA_1_Michala/	F		0			EH	2	stunning	sunsets	sp	813.1	1927.6	3191.3	68.1	347.5	846.4	84.575	84.481	84.669	0.188	e	stop	apical	voiceless	oral_apical	complex_coda			S	T	internal	5	S T AH1 N IH0 NG	S AH1 N S EH2 T S	SP	774.9515	1504.1149	822.1838	1890.5364	828.2281	1956.9807	779.2049	1955.4627	695.1745	1970.5399	463.401	1436.236				27.7315433577		5	5	[856.2523105160373, 2252.9228453893675, 4497.033145706975],[813.3294437681558, 1927.0304489061352, 3191.03844522054, 4594.542434653249],[828.2281032464291, 1956.980728480093, 3172.7496054847315, 4566.748222241785],[791.7621630649718, 1041.4151161022544, 2011.5385447937972, 3128.0181976719246, 4443.587758992601, 4648.6206228307265]	[175.2207479090526, 572.8237198528872, 369.5159247667977],[67.70156243777127, 347.925650338339, 849.2800018432749, 203.01999667526704],[71.87343247234578, 232.16419251426103, 529.1880274335172, 191.2952669501234],[118.91176135231593, 643.204770063084, 133.55204514204223, 247.6662436830167, 595.1147981535973, 411.95011471451653]			4	2	2			99	99	99
109	1	s	RP	TT	Trinidad	MT	BLA						DRESS	m	17						./INPUTFILES/Students/BLA_1_Michala/	F		0			EH	1	french	heading	for	930.2	1946.2	3362.7	33.7	307.3	355.4	106.564	106.48	106.648	0.168	e	stop	apical	voiced		one_fol_syll			HH	D	internal	2	F R EH1 N CH	HH EH1 D AH0 N	F AO1 R	935.537	1893.054	936.6875	1920.3792	930.1809	1946.1627	921.6913	1170.7985	542.5306	923.6849	524.493	1444.663				38.4855247853		5	5	[941.7975388933261, 2325.924950192941, 3969.1489662850354],[919.0452093842981, 1821.5243901591914, 3271.8133477343213, 4215.697780439757],[930.1808952170206, 1946.162661413244, 3362.697542000381, 4295.198887991792],[902.8443623653027, 930.749119474121, 1999.076770425346, 3279.253940560573, 4266.012166980896, 4270.324993481345]	[67.69553969420554, 909.5086054402794, 466.7827235489164],[32.297070624081485, 450.8092616846579, 658.624489579306, 440.4855543693536],[33.69021598450426, 307.31627152479155, 355.35986287627065, 287.2955113843882],[705.1732875159137, 70.27267875280468, 174.23189101194518, 265.91207812965746, 525.6928938622437, 977.2447832538018]			5	1	4			99	99	99
155	2	s	WL	TT	Trinidad	AT	EDW						DRESS	m	16						./INPUTFILES/Students/EDW_5_Shayna/	F		0			EH	1	sp	better	sp	783.1	1922.7	2622	49.5	227.4	540.9	34.258	34.213	34.304	0.091	e	stop	apical	voiceless	oral_labial	one_fol_syll			B	T	internal	2	SP	B EH1 T ER0	SP	790.21	1882.6536	794.7235	1920.6255	783.0598	1922.6874	748.7589	1914.2345	707.527	1902.1719	483.39	1423.315				7.9217311871		4	3	[819.2867162252888, 2109.99124433296, 3671.5336245752574],[783.0598127217359, 1922.687405216296, 2621.9553637583463, 4279.308405597982],[786.0888950944278, 1565.2032322818616, 1980.5641671002347, 2823.015126858839, 4413.106716106472],[758.8167937311237, 1270.9662231487512, 2028.8049323268167, 2828.698969286998, 4264.823643923324]	[153.61253746389855, 235.00351659350926, 1343.0175702279741],[49.52685201060778, 227.4250779765475, 540.8804304081017, 754.9967669073741],[63.41547646973708, 2496.424508442306, 204.13223763230272, 460.4396080295105, 357.0358887775155],[50.87473002193207, 515.2791736189863, 92.77156029192952, 162.20010669822318, 244.89512253295462]			4	1	1			99	99	99
175	2	s	RP	TT	Trinidad	AT	EDW						DRESS	m	16						./INPUTFILES/Students/EDW_5_Shayna/	F		0			EH	1	sp	seventeen	seventy	789.6	1827.1	4683.1	105.9	259.9	2078.8	12.912	12.869	12.954	0.085	e	fricative	labiodental	voiced	oral_apical	two_fol_syl			S	V	internal	2	SP	S EH1 V AH0 N T IY1 N	S EH1 V AH0 N T IY0	745.1172	1917.3785	772.6244	1870.0955	789.5521	1827.0753	795.7936	1823.5502	768.3316	1726.0074	486.205	1381.742				46.3016953145		3	3	[789.5521030861462, 1827.0753278757568, 4683.052013842307],[772.8316604614761, 1791.042435804164, 2051.0840057508303, 4648.812826469864],[758.9451802093156, 1557.3270339584606, 1987.8659636015598, 4560.862253136344, 4700.109485967389],[710.4778140675246, 1106.315046060683, 1842.386081620776, 2582.2171953356064, 4212.656859417352, 4980.928202980224]	[105.9076080995794, 259.9147900325254, 2078.7786424141805],[96.97384182993066, 451.3985141850505, 1450.0997335334014, 676.3212822286986],[87.1077747902042, 744.8219183998892, 522.3055532975324, 923.8739985226044, 4518.337342296689],[62.01588776055602, 259.6748520284855, 135.00931200121403, 432.2956461518488, 529.8503698316148, 772.6048192817809]			3	1	1			99	99	99
177	2	s	RP	TT	Trinidad	AT	EDW						DRESS	m	16						./INPUTFILES/Students/EDW_5_Shayna/	F		0			EH	1	seventeen	seventy	eight	759.5	1883.2	4850.7	110.9	429.4	2631.4	13.7	13.65	13.75	0.1	e	fricative	labiodental	voiced	oral_apical	two_fol_syl			S	V	internal	2	S EH1 V AH0 N T IY1 N	S EH1 V AH0 N T IY0	EY1 T	750.5918	1941.0977	755.5493	1837.3922	759.5399	1883.2285	754.9021	1867.8071	722.3429	1821.8586	473.067	1406.18				27.4486336454		3	3	[759.5398582044836, 1883.2285126619443, 4850.68226946738],[734.3260737121645, 1634.825156609472, 2347.3863066930808, 4691.831870324673],[727.4972956323546, 1529.7466641780554, 2074.832995518082, 3012.5620575254097, 4749.632996364262],[692.4924612996349, 1086.6657735694268, 1853.1627557929594, 2672.2859964481313, 4188.581705169561, 4865.2658818519885]	[110.94848669983757, 429.3846379143765, 2631.3787795328158],[79.60358289625675, 573.1952516744263, 934.4731766776039, 776.4946509517908],[78.56411791984266, 776.7498652673513, 879.5871485808946, 2084.7976901887832, 611.9997284720409],[67.87701475226282, 363.1289748876209, 233.11905818868425, 455.95850616993283, 1015.4308038234656, 713.2384991131227]			3	1	1			99	99	99
187	2	s	RP	TT	Trinidad	AT	EDW						DRESS	m	16						./INPUTFILES/Students/EDW_5_Shayna/	F		0			EH	1	sp	century	sp	808	1793.2	3961.7	154.1	505.9	618.6	23.867	23.812	23.922	0.11	e	nasal	apical	voiced	oral_apical	complex_two_syl			S	N	internal	2	SP	S EH1 N CH ER0 IY0	SP	815.0679	1773.4623	841.6767	1768.4351	807.9566	1793.1529	764.9039	1845.1436	696.2607	2007.8489	494.276	1367.135				60.9259772265		3	3	[807.9566468363448, 1793.1529138403134, 3961.6975644502904],[783.7475877936624, 1633.5626297514443, 2595.9315959430273, 4134.6749938035155],[788.3247011913073, 1693.5179264177268, 1735.12052836739, 3105.339912896276, 4193.746553461914],[711.9109207204681, 1106.9539536199402, 1887.4126430210129, 3069.612997781996, 4153.194304537538]	[154.08941711082662, 505.9212528322422, 618.6201840287757],[139.8846820287639, 582.7426002016826, 1582.839056623057, 435.8445252219802],[147.28730671584628, 601.5067644698153, 2970.3816308709183, 1743.2657138187092, 442.8053158232238],[146.88967014576585, 383.1370990934023, 251.1725532765865, 427.79114036081893, 181.7864955143783]			3	1	1			99	99	99
189	2	s	RP	TT	Trinidad	AT	EDW						DRESS	m	16						./INPUTFILES/Students/EDW_5_Shayna/	F		0			EH	2	sp	destination	sp	759.7	2182.9		135.8	557		26.813	26.776	26.851	0.075	e	fricative	apical	voiceless	oral_apical	complex_two_syl			D	S	internal	2	SP	D EH2 S T AH0 N EY1 SH AH0 N	SP	667.8945	2094.5268	694.2343	2168.0016	759.6818	2182.9388	753.7312	2019.8098	730.254	2611.3886	473.161	1536.798				110.1694019454		3	3	[759.681804034272, 2182.9387503962184],[733.4572347299072, 1675.0301234251167, 2407.8205092560315, 4661.4652704718],[745.4674842286319, 965.0455082979461, 2041.3894456694657, 2909.4181452936787, 4734.302175517794],[681.3824644263655, 987.366632532541, 2037.2381578267518, 2875.2059305600364, 4508.398530317777]	[135.7787655621931, 556.9632838308637],[111.47384689235932, 1138.140194540648, 694.5569394993195, 1322.832376287193],[135.00381764699688, 1475.9237470080468, 441.589588534167, 609.1710425535977, 379.70513836913386],[159.88322103131367, 415.66698008524, 177.73370096703854, 227.18041367984065, 342.3690594382305]			3	1	1			99	99	99
